Device TU106
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
Metric Name                                                                 Metric Description                                                                                  
lts__t_sectors_aperture_peer_op_atom_dot_cas_lookup_hit                     # of LTS sectors accessing peer memory (peermem) for atomic CAS that hit                            
lts__t_requests_aperture_sysmem_op_read_lookup_miss                         # of LTS requests accessing system memory (sysmem) for reads that missed                            
lts__t_requests_srcunit_tex_aperture_sysmem_op_membar_lookup_miss           # of LTS requests from unit TEX accessing system memory (sysmem) for memory barriers that missed    
lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_dot_cas_lookup_miss       # of LTS sectors from unit L1 accessing system memory (sysmem) for atomic CAS that missed           
lts__t_sectors_aperture_sysmem_op_membar                                    # of LTS sectors accessing system memory (sysmem) for memory barriers                               
lts__t_sectors_srcunit_tex_op_membar_lookup_miss                            # of LTS sectors from unit TEX for memory barriers that missed                                      
l1tex__t_sectors_pipe_tex_lookup_hit                                        # of sector requests to T-Stage with tag-hit and data-hit for TEX pipe                              
lts__t_sectors_aperture_device_op_membar_lookup_hit                         # of LTS sectors accessing device memory (vidmem) for memory barriers that hit                      
l1tex__t_sectors_pipe_tex_mem_texture_op_ld_lookup_hit                      # of sector requests to T-Stage with tag-hit and data-hit for TLD instructions                      
smsp__sass_inst_executed_op_global                                          # of warp instructions executed: LDG, STG, LD, ST, ATOM, ATOMG                                      
lts__t_requests_srcunit_tex_aperture_peer_op_read                           # of LTS requests from unit TEX accessing peer memory (peermem) for reads                           
lts__t_sectors_srcunit_l1_aperture_device_op_atom_dot_cas_lookup_hit        # of LTS sectors from unit L1 accessing device memory (vidmem) for atomic CAS that hit              
l1tex__m_xbar2l1tex_read_bytes_mem_global_op_atom                           # of bytes read from L2 into L1TEX M-Stage# of sectors read from L2 into L1TEX M-Stage for global   
                                                                            atomics                                                                                             
smsp__inst_executed_op_shared_st_pred_off_all                               # of warp instructions executed with all threads predicated off: STS                                
smsp__inst_executed_op_local_st_pred_on_any                                 # of warp instructions executed with at least 1 thread predicated on: STL                           
smsp__mio2rf_writeback_active_pipe_tex                                      # of cycles where the MIO to register file writeback interface was active for TEX return data       
gpc__cycles_in_region                                                       # of cycles in user-defined region                                                                  
lts__t_sectors_op_red                                                       # of LTS sectors for reductions                                                                     
lts__t_sectors_srcunit_l1_aperture_sysmem_op_read_lookup_miss               # of LTS sectors from unit L1 accessing system memory (sysmem) for reads that missed                
tpc__warps_active_shader_cs_realtime                                        cumulative # of active CS warps                                                                     
lts__t_requests_srcunit_l1_aperture_sysmem_op_atom_lookup_miss              # of LTS requests from unit L1 accessing system memory (sysmem) for all atomics that missed         
lts__t_sectors_srcunit_l1_aperture_peer                                     # of LTS sectors from unit L1 accessing peer memory (peermem)                                       
fbpa__dram_read_bytes                                                       # of DRAM read bytes                                                                                
smsp__inst_executed_op_generic_st_pred_on_any                               # of warp instructions executed with at least 1 thread predicated on: ST                            
lts__t_sectors_aperture_peer_op_read_lookup_hit                             # of LTS sectors accessing peer memory (peermem) for reads that hit                                 
lts__t_sectors_srcunit_l1_op_read_lookup_hit                                # of LTS sectors from unit L1 for reads that hit                                                    
l1tex__t_bytes_pipe_lsu_mem_global_op_st_lookup_hit                         # of bytes requested with tag-hit and data-hit for global stores                                    
lts__t_sectors_aperture_sysmem_op_write                                     # of LTS sectors accessing system memory (sysmem) for writes                                        
smsp__inst_executed_op_shared_atom_dot_alu_pred_on_any                      # of warp instructions executed with at least 1 thread predicated on: ATOMS.ALU (non-CAS)           
sm__inst_executed_pipe_alu                                                  # of warp instructions executed by alu pipe                                                         
gr__cycles_in_region                                                        # of cycles in user-defined region                                                                  
l1tex__t_sectors_pipe_lsu_mem_local_op_st_lookup_miss                       # of sector requests to T-Stage that missed for local stores                                   
lts__t_sectors_aperture_device                                              # of LTS sectors accessing device memory (vidmem)                                              
lts__t_requests_srcunit_tex_aperture_sysmem_op_atom                         # of LTS requests from unit TEX accessing system memory (sysmem) for all atomics               
l1tex__t_sectors_pipe_lsu_mem_global_op_red_lookup_miss                     # of sector requests to T-Stage that missed for global reductions                              
lts__t_requests_srcunit_tex_aperture_sysmem_op_atom_lookup_hit              # of LTS requests from unit TEX accessing system memory (sysmem) for all atomics that hit      
gpu__dispatch_count                                                         # of compute dispatches sent to GPU                                                            
lts__t_sectors_op_read_lookup_hit                                           # of LTS sectors for reads that hit                                                            
lts__t_sectors_srcunit_l1_aperture_peer_op_atom_dot_alu_lookup_hit          # of LTS sectors from unit L1 accessing peer memory (peermem) for atomic ALU (non-CAS) that hit
l1tex__texin_requests_mem_surface_op_atom                                   # of requests sent to TEXIN for surface atomic instructions (SUATOM, SUATOM.CAS)               
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_ld                        # of wavefronts sent to Data-Stage from T-Stage for global loads                               
lts__t_requests_srcunit_l1_aperture_peer_op_read_lookup_hit                 # of LTS requests from unit L1 accessing peer memory (peermem) for reads that hit              
lts__t_sectors_srcunit_tex_aperture_device_op_atom_dot_cas_lookup_miss      # of LTS sectors from unit TEX accessing device memory (vidmem) for atomic CAS that missed     
lts__t_sectors_srcunit_tex_aperture_device_op_write_lookup_miss             # of LTS sectors from unit TEX accessing device memory (vidmem) for writes that missed         
lts__t_sectors_aperture_sysmem_lookup_hit                                   # of LTS sectors accessing system memory (sysmem) that hit                                     
l1tex__data_pipe_lsu_wavefronts_mem_shared_cmd_read                         # of shared read wavefronts processed by Data-Stage                                            
lts__t_sectors_op_write_lookup_miss                                         # of LTS sectors for writes that missed                                                        
l1tex__t_set_accesses                                                       # of cache set accesses                                                                        
lts__t_requests_srcunit_l1_aperture_device_op_red_lookup_miss               # of LTS requests from unit L1 accessing device memory (vidmem) for reductions that missed     
lts__t_sectors_srcunit_l1_aperture_peer_op_atom_dot_cas                     # of LTS sectors from unit L1 accessing peer memory (peermem) for atomic CAS                   
lts__t_sectors_aperture_device_op_red_lookup_hit                            # of LTS sectors accessing device memory (vidmem) for reductions that hit                      
lts__t_sectors_aperture_device_op_read                                      # of LTS sectors accessing device memory (vidmem) for reads                                    
l1tex__t_requests_pipe_tex_mem_texture_op_tex                               # of requests sent to T-Stage from the TEX pipe for TEX instructions                           
lts__t_sectors_equiv_l1tagmiss_pipe_tex                                     # of sectors requested for TEX pipe                                                            
l1tex__f_cycles_active                                                      # of cycles where L1TEX F-Stage was active                                                     
lts__t_requests_srcunit_l1_aperture_device_op_write                         # of LTS requests from unit L1 accessing device memory (vidmem) for writes                     
lts__t_requests_srcunit_l1_aperture_peer_lookup_miss                        # of LTS requests from unit L1 accessing peer memory (peermem) that missed                     
l1tex__texin_requests_mem_surface_op_red                                    # of requests sent to TEXIN for surface reduction instructions (SURED)                         
lts__t_sectors_aperture_device_op_atom_lookup_hit                           # of LTS sectors accessing device memory (vidmem) for all atomics that hit                     
lts__t_sectors_aperture_device_op_atom_dot_alu_lookup_hit                   # of LTS sectors accessing device memory (vidmem) for atomic ALU (non-CAS) that hit            
lts__t_sectors_srcunit_tex_aperture_peer_op_read_lookup_miss                # of LTS sectors from unit TEX accessing peer memory (peermem) for reads that missed           
lts__t_sectors_srcunit_tex_aperture_peer_op_read                            # of LTS sectors from unit TEX accessing peer memory (peermem) for reads                       
smsp__inst_executed_op_shared_atom_dot_alu                                  # of warp instructions executed: ATOMS.ALU (non-CAS)                                           
smsp__inst_executed_pipe_lsu                                                # of warp instructions executed by lsu pipe                                                    
lts__t_requests_srcunit_l1_aperture_peer_op_red_lookup_hit                  # of LTS requests from unit L1 accessing peer memory (peermem) for reductions that hit         
lts__t_sectors_op_membar                                                    # of LTS sectors for memory barriers                                                           
gpu__time_start                                                             start timestamp, relative to start of frame                                                    
smsp__sass_thread_inst_executed_op_conversion_pred_on                       # of conversion thread instructions executed where all predicates were true                    
